year,stand,species,trap,filledseeds,emptyseeds,cones,conefilledseeds,coneemptyseeds,totconeseeds
2009,AG05,ABLA,2,0,0,0,NA,NA,0
2009,AG05,ABPR,2,0,0,0,NA,NA,0
2009,AG05,ACGL,2,0,0,0,NA,NA,0
2009,AG05,ALRU,2,0,0,0,NA,NA,0
2009,AG05,CANO,2,0,0,0,NA,NA,0
2009,AG05,PICO,2,0,0,0,NA,NA,0
2009,AG05,PIEN,2,0,0,0,NA,NA,0
2009,AG05,PIMO,2,0,0,0,NA,NA,0
2009,AG05,PISI,2,0,0,0,NA,NA,0
2009,AG05,PSME,2,4,2,0,NA,NA,0
2009,AG05,TABR,2,1,0,0,NA,NA,0
2009,AG05,THPL,2,27,2,9,NA,NA,5
2009,AG05,TSHE,2,4,1,0,NA,NA,0
2009,AG05,TSME,2,0,0,0,NA,NA,0
2009,AG05,ABAM,3,2,1,0,NA,NA,0
2009,AG05,ABGR,3,0,0,0,NA,NA,0
2009,AG05,ABLA,3,0,0,0,NA,NA,0
2009,AG05,ABPR,3,0,0,0,NA,NA,0
2009,AG05,ACGL,3,0,0,0,NA,NA,0
2009,AG05,ALRU,3,0,0,0,NA,NA,0
2009,AG05,CANO,3,0,0,0,NA,NA,0
2009,AG05,PICO,3,0,0,0,NA,NA,0
2009,AG05,PIEN,3,0,0,0,NA,NA,0
2009,AG05,PIMO,3,0,0,0,NA,NA,0
2009,AG05,PISI,3,0,0,0,NA,NA,0
2009,AG05,PSME,3,1,0,0,NA,NA,0
2009,AG05,TABR,3,0,0,0,NA,NA,0
2009,AG05,THPL,3,13,0,7,NA,NA,0
2009,AG05,TSHE,3,2,3,0,NA,NA,0
2009,AG05,TSME,3,0,0,0,NA,NA,0
2009,AG05,ABAM,4,3,2,0,NA,NA,0
2009,AG05,ABGR,4,0,0,0,NA,NA,0
2009,AG05,ABLA,4,0,0,0,NA,NA,0
2009,AG05,ABPR,4,1,0,0,NA,NA,0
2009,AG05,ACGL,4,0,0,0,NA,NA,0
2009,AG05,ALRU,4,0,0,0,NA,NA,0
2009,AG05,CANO,4,0,0,0,NA,NA,0
2009,AG05,PICO,4,0,0,0,NA,NA,0
2009,AG05,PIEN,4,0,0,0,NA,NA,0
2009,AG05,PIMO,4,0,0,0,NA,NA,0
2009,AG05,PISI,4,0,0,0,NA,NA,0
2009,AG05,PSME,4,0,0,0,NA,NA,0
2009,AG05,TABR,4,0,0,0,NA,NA,0
2009,AG05,THPL,4,25,0,45,NA,NA,0
2009,AG05,TSHE,4,3,4,1,NA,NA,0
